#SHEETINFO | name=Arithmetic operations and word problems,,,,,,,
Numbers,,,,,,,
"Replace 💠 with <, >, or = so the statement is true:

176 💠 98",176 > 98,,,,,,
"Replace 💠 with <, >, or = so the statement is true:

762 💠 156",762 > 156,,,,,,
"Replace 💠 with <, >, or = so the statement is true:

689 💠 678",689 > 678,,,,,,
"Replace 💠 with <, >, or = so the statement is true:

9 999 💠 19 812",9 999 < 19 812,,,,,,
"Replace 💠 with <, >, or = so the statement is true:

10 324 💠 10 524",10 324 < 10 524,,,,,,
"Replace 💠 with <, >, or = so the statement is true:

1 761 367 💠 1 761 367",1 761 367 = 1 761 367,,,,,,
,,,,,,,
"Replace the 💟 with the appropriate digit. List all possibilities.

2💟4 > 279","284 > 279
294 > 279",,,,,,
"Replace the 💟 with the appropriate digit. List all possibilities.

345 < 3💟5 < 365",345 < 355 < 365,,,,,,
"Replace the 💟 with the appropriate digit. List all possibilities.

10💟2 < 1032","1002 < 1032
1012 < 1032
1022 < 1032",,,,,,
"Replace the 💟 with the appropriate digit. List all possibilities.

💟3 823 > 89 999",93 823 > 89 999,,,,,,
"Replace the 💟 with the appropriate digit. List all possibilities.

999 94💟 > 999 948",999 949 > 999 948,,,,,,
"Replace the 💟 with the appropriate digit. List all possibilities.

1 000 00💟 < 1 000 001",1 000 000 < 1 000 001,,,,,,
,,,,,,,
"=""Read the given number:

""&Q19","=LET(
  items; SPLIT(""🪅,💝,🎉,🧃,🦖,🎈,🎁,🎊,🏆,🥳,🪄,⚡,🏀,🏎️,🎮,🐉,🚀,🪁,🏹,🎯,🦁,🐵,🏰,🛹,🏓,🐢,🦕""; "","");
  TEXTJOIN("" ""; TRUE; INDEX(items; RANDBETWEEN(1; COUNTA(items))))
)",,"~#place-after-tech-cols#~=TRIM(TEXT(RANDBETWEEN(100000;990000000);""### ### ### ### ###""))",,,,
"=""Read the given number:

""&Q20","=LET(
  items; SPLIT(""🪅,💝,🎉,🧃,🦖,🎈,🎁,🎊,🏆,🥳,🪄,⚡,🏀,🏎️,🎮,🐉,🚀,🪁,🏹,🎯,🦁,🐵,🏰,🛹,🏓,🐢,🦕""; "","");
  TEXTJOIN("" ""; TRUE; INDEX(items; RANDBETWEEN(1; COUNTA(items))))
)",,"~#place-after-tech-cols#~=TRIM(TEXT(RANDBETWEEN(100000;99000000000);""### ### ### ### ###""))",,,,
"Write the number using digits:

four thousand nine hundred eleven",4 911,,,,,,
"Write the number using digits:

thirteen thousand forty-eight",13 048,,,,,,
"Write the number using digits:

three hundred thousand five hundred twenty-four",300 524,,,,,,
"Write the number using digits:

twenty-six million seven thousand twelve",26 007 012,,,,,,
"Write the number using digits:

one hundred million one",100 000 001,,,,,,
"Write the number using digits:

six billion eight million two thousand forty-seven",6 008 002 047,,,,,,
"Write the number using digits:

one billion seven",1 000 000 007,,,,,,
,,,,,,,
How many zeros (or other digits) does a million have?,"6 zeros

1 000 000",,,,,,
Which notation corresponds to the number four million forty thousand thirteen?,4 040 013,,,,,,
What is the sum of the hundred-thousands digit and the ones digit of the number: 12 980 457,16,,,,,,
,,,,,,,
Addition,,,,,,,
"Ann had 12 apples, and her mom gave her 8 more. How many apples does Ann have now?",Ann now has 20 apples.,Natural number addition,,,,,
There are 15 boys and 13 girls in the class. How many students are there together?,There are 28 students together.,Natural number addition,,,,,
There were 32 books on the shelf. Adam placed 8 more books there. How many books are on the shelf now?,There are 40 books on the shelf now.,Natural number addition,,,,,
,,,,,,,
"=Q38 &"" + ""&R38&"" = """,=Q38+R38,,~#place-after-tech-cols#~=RANDBETWEEN(30;50),=RANDBETWEEN(30;50),,,
"=Q39 &"" + ""&R39&"" = """,=Q39+R39,,~#place-after-tech-cols#~=RANDBETWEEN(30;60),=RANDBETWEEN(20;30),,,
"=Q40 &"" + ""&R40&"" = """,=Q40+R40,,~#place-after-tech-cols#~=RANDBETWEEN(1;50),=RANDBETWEEN(1;50),,,
"=Q41 &"" + ""&R41&"" = """,=Q41+R41,,~#place-after-tech-cols#~=RANDBETWEEN(30;60),=RANDBETWEEN(20;40),,,
"=Q42 &"" + ""&R42&"" = """,=Q42+R42,,~#place-after-tech-cols#~=RANDBETWEEN(20;50),=RANDBETWEEN(20;50),,,
"=Q43 &"" + ""&R43&"" = """,=Q43+R43,,~#place-after-tech-cols#~=RANDBETWEEN(40;80),=RANDBETWEEN(10;40),,,
"=Q44 &"" + ""&R44&"" + ""&S44&"" = """,=Q44+R44+S44,,~#place-after-tech-cols#~=RANDBETWEEN(1;20),=RANDBETWEEN(10;20),=RANDBETWEEN(10;20),,
"=Q45 &"" + ""&R45&"" = """,=Q45+R45,,~#place-after-tech-cols#~=RANDBETWEEN(101;799),=RANDBETWEEN(101;799),,,
"=Q46 &"" + ""&R46&"" = """,=Q46+R46,,~#place-after-tech-cols#~=RANDBETWEEN(101;799),=RANDBETWEEN(101;799),,,
"=Q47 &"" + ""&R47&"" = """,=Q47+R47,,~#place-after-tech-cols#~=RANDBETWEEN(101;799),=RANDBETWEEN(101;799),,,
,,,,,,,
Subtraction,,,,,,,
"=""Calculate by how much the number ""&Q50&"" is smaller than the number ""&R50&"".""",=R50-Q50,"=""The number ""&Q50&"" is '''""&R50-Q50&""''' smaller than the number ""&R50&"".""",~#place-after-tech-cols#~=RANDBETWEEN(1;10),=RANDBETWEEN(11;20),,,
"=""Calculate by how much the number ""&Q51&"" is smaller than the number ""&R51&"".""",=R51-Q51,"=""The number ""&Q51&"" is '''""&R51-Q51&""''' smaller than the number ""&R51&"".""",~#place-after-tech-cols#~=RANDBETWEEN(1;10),=RANDBETWEEN(11;20),,,
"=""Calculate by how much the number ""&Q52&"" is greater than the number ""&R52&"".""",=Q52-R52,"=""The number ""&Q52&"" is '''""&Q52-R52&""''' greater than the number ""&R52&"".""",~#place-after-tech-cols#~=RANDBETWEEN(11;20),=RANDBETWEEN(1;10),,,
"=""Calculate by how much the number ""&Q53&"" is greater than the number ""&R53&"".""",=Q53-R53,"=""The number ""&Q53&"" is '''""&Q53-R53&""''' greater than the number ""&R53&"".""",~#place-after-tech-cols#~=RANDBETWEEN(11;20),=RANDBETWEEN(1;10),,,
,,,,,,,
Tom had $25. He bought a notebook for $7. How much money does he have left?,Tom has $18 left.,Natural number subtraction,,,,,
There were 24 crayons in the box. The children took 9 crayons. How many crayons were left in the box?,There are 15 crayons left in the box.,Natural number subtraction,,,,,
Kate had 50 candies. She gave 25 candies to her friends. How many did she have left?,Kate has 25 candies left.,Natural number subtraction,,,,,
"The children gathered 28 mushrooms in the forest. At home, it turned out that 5 of them were wormy and had to be thrown away. How many good mushrooms were left?",The children had 23 good mushrooms left.,Natural number subtraction,,,,,
Tom had $120. He bought a game for $85. How much money does he have left?,$35,Natural number subtraction,,,,,
"There are 45 chairs in the school. In one room there are 15 chairs, and in the second there are 5 fewer. How many chairs are in the remaining rooms?",20,Comparing and subtracting numbers,,,,,
"There were 30 apples in the shop. 12 apples were sold, and then 8 more were delivered. How many apples are in the shop now?",There are now 26 apples in the shop.,Addition and subtraction of natural numbers,,,,,
"In the park, 5 people were sitting on one bench, and 3 more people were on the second bench than the first. Then 2 people left the second bench. How many people were left on both benches together?",There were 11 people left on both benches together.,Addition and subtraction of natural numbers,,,,,
"Jake had 18 candies. He gave his sister 5 candies, and got 7 more from a friend. How many candies does Jake have now?",Jake has 20 candies now.,Addition and subtraction of natural numbers,,,,,
"There were 40 books in the library. 15 were borrowed, and then 12 new ones were bought. How many books are in the library now?",There are now 37 books in the library.,Addition and subtraction of natural numbers,,,,,
"18 children were playing on the playground. After a while, 9 more joined, and then 7 went home. How many were left?",There were 20 children left on the playground.,Addition and subtraction,,,,,
"There were 24 students in the class. 8 went out to the sports field, and then 5 new students came from another class. How many students are in the class now?",Now there are 21 students in the class.,Subtraction and addition,,,,,
"There were 20 apples in the basket. 6 were eaten, and then 9 more were added. How many apples are in the basket now?",There are now 23 apples in the basket.,Subtraction and addition,,,,,
,,,,,,,
"=""Calculate by how much the number ""&Q69&"" is smaller than the number ""&R69&"".""",=R69-Q69,"=""The number ""&Q69&"" is '''""&R69-Q69&""''' smaller than the number ""&R69&"".""",~#place-after-tech-cols#~=RANDBETWEEN(1;30),=RANDBETWEEN(31;99),,,
"=""Calculate by how much the number ""&Q70&"" is smaller than the number ""&R70&"".""",=R70-Q70,"=""The number ""&Q70&"" is '''""&R70-Q70&""''' smaller than the number ""&R70&"".""",~#place-after-tech-cols#~=RANDBETWEEN(1;30),=RANDBETWEEN(31;99),,,
"=""Calculate by how much the number ""&Q71&"" is greater than the number ""&R71&"".""",=Q71-R71,"=""The number ""&Q71&"" is '''""&Q71-R71&""''' greater than the number ""&R71&"".""",~#place-after-tech-cols#~=RANDBETWEEN(31;99),=RANDBETWEEN(1;30),,,
"=""Calculate by how much the number ""&Q72&"" is greater than the number ""&R72&"".""",=Q72-R72,"=""The number ""&Q72&"" is '''""&Q72-R72&""''' greater than the number ""&R72&"".""",~#place-after-tech-cols#~=RANDBETWEEN(31;99),=RANDBETWEEN(1;30),,,
,,,,,,,
73 - 16 =,57,,,,,,
