#SHEETINFO | name=Kl5SP Opowieść wigilijna,
"Kto jest autorem ""Opowieści wigilijnej""?",Charles Dickens
W jakim mieście rozgrywa się akcja utworu?,W Londynie.
W jakiej epoce toczy się akcja (wiek)?,W XIX wieku (epoka wiktoriańska).
Jak nazywa się główny bohater utworu?,Ebenezer Scrooge
Czym zajmował się zawodowo Scrooge?,Był właścicielem kantoru.
Jak nazywał się zmarły wspólnik Scrooge'a?,Jakub Marley
Ile lat przed akcją utworu zmarł Jakub Marley?,7 lat
"Jakie słowa wypowiadał Scrooge, gdy słyszał o świętach?",Bzdura! (lub: Humbug!)
Jaki stosunek do ludzi miał Scrooge na początku utworu?,"Był oziębły, skąpy i nie lubił ludzi."
"Kto odwiedził Scrooge'a w kantorze, aby zaprosić go na obiad?","Jego siostrzeniec, Fred."
Jak nazywał się pracownik (kancelista) Scrooge'a?,Bob Cratchit
Dlaczego Scrooge niechętnie dawał Bobowi wolne w Boże Narodzenie?,Uważał to za stratę pieniędzy (okradanie go).
Kto odwiedził Scrooge'a jako pierwszy duch (zapowiadający przybycie kolejnych duchów)?,Duch Jakuba Marleya.
Co ciągnął za sobą duch Marleya?,"Długi łańcuch z kasetek, kluczy i ksiąg."
Co symbolizował łańcuch Marleya?,"Grzechy, chciwość i przywiązanie do pieniędzy za życia."
Jaki był cel wizyty Marleya?,Ostrzeżenie Scrooge'a przed podobnym losem.
Ile duchów miało odwiedzić Scrooge'a po wizycie Marleya?,Trzy
Jak nazywał się pierwszy z trzech duchów?,Duch Wigilijnej Przeszłości
Jak wyglądał Duch Wigilijnej Przeszłości?,"Przypominał dziecko i starca jednocześnie, biło od niego światło."
Gdzie najpierw Duch Przeszłości zabrał Scrooge'a?,Do szkoły z jego dzieciństwa.
Kogo zobaczył Scrooge w szkole z przeszłości?,Samego siebie jako samotnego chłopca.
Jak miała na imię młodsza siostra Scrooge'a?,Fan
U kogo Scrooge terminował (uczył się zawodu) w młodości?,U pana Fezziwiga.
Jakim szefem był pan Fezziwig?,"Radosnym, hojnym i dobrym dla pracowników."
Dlaczego narzeczona (Bella) zerwała ze Scroogem?,Ponieważ Scrooge bardziej kochał pieniądze niż ją (Złoty Cielciec).
Jak nazywał się drugi duch?,Duch Tegorocznego Bożego Narodzenia (Teraźniejszości).
Jak wyglądał Duch Tegorocznego Bożego Narodzenia?,"Olbrzym w zielonej szacie, otoczony jedzeniem."
Co trzymał w ręku Duch Tegorocznego Bożego Narodzenia?,Pochodnię w kształcie rogu obfitości.
Czyj dom odwiedzili wraz z drugim duchem?,Dom Boba Cratchita
"Jak nazywał się najmłodszy, chory syn Boba?",Mały Tim (Tiny Tim)
Bez czego nie mógł poruszać się Mały Tim?,Bez kuli.
Jaki toast wzniósł Bob Cratchit podczas obiadu?,Za zdrowie Scrooge'a (jako sponsora uczty).
Jak żona Boba zareagowała na toast za Scrooge'a?,"Była oburzona, ale wypiła ze względu na święta."
Co ukrywał pod płaszczem Duch Tegorocznego Bożego Narodzenia?,"Dwoje dzieci: 
# Dziewczynka - Bieda (Nędza)
# Chłopiec - Głupota (Ciemnota, Ignorancja)"
Jak nazywał się trzeci duch?,Duch Przyszłych Wigilii (Przyszłości)
Jak wyglądał Duch Przyszłych Wigilii?,"Był spowity w czarną szatę, nie było widać twarzy, milczał."
Czym różnił się trzeci duch od pozostałych?,Nie odzywał się ani słowem.
O czym rozmawiali kupcy na giełdzie w wizji przyszłości?,"O śmierci jakiegoś bogatego, nielubianego człowieka."
Co robili ludzie w domu zmarłego w wizji przyszłości?,Rozkradali jego rzeczy (nawet zasłony i koszulę).
Czyj grób pokazał Scrooge'owi trzeci duch?,Jego własny (Ebenezera Scrooge'a).
Czego dowiedział się Scrooge o losie Małego Tima w przyszłości (jeśli nic się nie zmieni)?,Że Tim umrze.
Jakie uczucie towarzyszyło Scrooge'owi podczas spotkania z trzecim duchem?,Strach i przerażenie.
Co obiecał Scrooge po przebudzeniu?,Że zmieni swoje życie i będzie czcił Boże Narodzenie.
W jaki dzień obudził się Scrooge po wizytach duchów?,W Boże Narodzenie (rankiem).
Co Scrooge kazał kupić chłopcu na ulicy?,Największego indyka z wystawy.
Gdzie Scrooge kazał wysłać indyka?,Do domu Boba Cratchita.
Do kogo udał się Scrooge na świąteczny obiad?,Do siostrzeńca Freda.
Co zrobił Scrooge dla Boba Cratchita dzień po świętach?,Podniósł mu pensję.
Co stało się z Małym Timem na końcu historii?,Przeżył i odzyskał zdrowie (dzięki pomocy Scrooge'a).
Jakim terminem określamy wewnętrzną przemianę bohatera?,Metamorfoza.
"Co jest głównym przesłaniem ""Opowieści wigilijnej""?",Warto być dobrym i dzielić się z innymi; pieniądze nie dają szczęścia.
Do jakiego gatunku literackiego zaliczamy ten utwór?,Opowiadanie (nowela).
Jakie elementy świata przedstawionego są w utworze (dwa rodzaje)?,Realistyczne i fantastyczne.
Wymień jedną postać fantastyczną w utworze.,Duch Marleya (lub którykolwiek z Duchów Wigilijnych).
Jaka pogoda panowała na początku utworu (symbolizująca nastrój Scrooge'a)?,Mgła i mróz.
Co symbolizuje ogień w kominku w utworze?,"Ciepło rodzinne, miłość, dobroć."
Do czego (jakiego zwierzęcia) porównywano Scrooge'a w zabawie u Freda?,"Do ślepego niedźwiedzia (w ""Ślepą babkę"") lub drapieżnego zwierzęcia."
Do jakiego przedmiotu narrator porównuje twardość charakteru Scrooge'a?,Do krzemienia.
Do jakiego stworzenia narrator porównuje samotność Scrooge'a?,Do ostrygi.
Czy Ebenezer Scrooge dotrzymał swoich postanowień poprawy?,"Tak, stał się najlepszym przyjacielem i człowiekiem."
Jak nazywają się dzieci Boba Cratchita (oprócz Małego Tima)?,"# Marta
# Belinda
# Piotr
# bliźnięta"
Jakie uczucie wzbudzał Scrooge w innych ludziach na początku utworu?,"Lęk, niechęć, brak sympatii."
Kto rozkradał rzeczy zmarłego Scrooge'a w wizji przyszłości?,"Praczka (pani Dilber), posługaczka i karawaniarz."
Jakie najważniejsze motywy pojawiają się w „Opowieści wigilijnej”?,"# Chciwość i bieda
# Samotność i rodzina
# Możliwość zmiany (metamorfozy)
# Odpowiedzialność za swoje czyny"
Co symbolizują trzy duchy?,"# Przeszłość: utracone szanse
# Teraźniejszość: los innych i bieda
# Przyszłość: konsekwencje egoizmu i samotna śmierć"
Jaką rolę pełni w opowieści postać Małego Tima?,"Jest symbolem niewinności, krzywdy biednych i powodem, dla którego Scrooge naprawdę się zmienia."
Po co Dickens napisał „Opowieść wigilijną”?,Aby zwrócić uwagę bogatych na skrajną biedę i zachęcić do współczucia oraz pomocy ubogim.
Co mówi o świętach Bożego Narodzenia cała historia Scrooge'a?,"Że prawdziwy sens świąt to:
* dobroć
* bycie razem
* dzielenie się 
* gotowość do przebaczenia"
