#SHEETINFO | name=Kl5SP Egipt i Izrael,,
Egipt,,
Jak nazywało się pismo obrazkowe używane w starożytnym Egipcie?,Hieroglify.,
Dlaczego Egipt nazywano „darem Nilu”?,"Ponieważ coroczne wylewy rzeki nanosiły żyzny muł, który umożliwiał uprawę roli i życie na pustynnym terenie.",
Co to jest Żyzny Półksiężyc?,"* Pas żyznej ziemi na Bliskim Wschodzie, rozciągający się od Egiptu przez Mezopotamię, który miał kształt półksiężyca. 
* Swoją żyzność zawdzięczał rzekom, takim jak Nil, Tygrys i Eufrat, co stworzyło idealne warunki do rozwoju rolnictwa i powstania pierwszych cywilizacji.",
Gdzie leżał Starożytny Egipt?,W północno-wschodniej Afryce. Cywilizacja egipska rozwijała się w wąskim pasie ziemi wzdłuż rzeki Nil.,
Co to była rewolucja neolityczna?,"To przejście ludzi od wędrownego trybu życia (zbieractwa i łowiectwa) do osiadłego trybu życia, związanego z uprawą roli i hodowlą zwierząt.",
Co to jest cywilizacja?,"Poziom rozwoju jakiegoś społeczeństwa, które: 
# mieszka w osadach albo miastach
# zna rolnictwo i rzemiosło
# używa pisma
# posiada własną kulturę",
Kim był faraon?,"Władcą starożytnego Egiptu, którego uważano za boga i posiadającego nieograniczoną władzę.",
Czym była piramida?,Grobowcem budowanym dla faraona w starożytnym Egipcie.,
Co to jest papirus?,Materiał pisarski wytwarzany przez Egipcjan z trzciny rosnącej nad Nilem.,
Czym jest mumia?,"Zabalsamowane ciało zmarłego, zabezpieczone przed rozkładem, aby zapewnić mu życie wieczne.",
Co to jest mumifikacja?,"Proces balsamowania i konserwowania zwłok, aby nie uległy one rozkładowi.",
Co to jest politeizm?,Wiara w wielu bogów.,
Dlaczego starożytny Egipt nazywano „darem Nilu”?,"Ponieważ coroczne wylewy rzeki nanosiły żyzny muł, co umożliwiało rolnictwo na pustynnym terenie.",
Kto rządził w starożytnym Egipcie?,"Faraon, który posiadał nieograniczoną władzę i był uważany za boga.",
Wymień co najmniej trzy zastosowania rzeki Nil przez Egipcjan.,"# Dostarczała wodę pitną
# Służyła do nawadniania pól
# Była szlakiem transportowym
# Była źródłem pożywienia (ryby)",
Jak nazywało się pismo obrazkowe używane w starożytnym Egipcie?,Hieroglify.,
Na czym pisali starożytni Egipcjanie?,"Na papirusie, materiale wytwarzanym z trzciny rosnącej nad Nilem.",
Wymień grupy społeczne w Egipcie w kolejności od najważniejszej.,"# faraon
# wezyr
# kapłani
# urzędnicy
# żołnierze
# rzemieślnicy
# chłopi
# niewolnicy",
Jak nazywa się wiara w wielu bogów?,Politeizm.,
Co umieszczano w grobowcach oprócz ciała zmarłego?,"# Przedmioty codziennego użytku
# Żywność
# Skarby
Te przedmioty miały służyć zmarłemu w życiu pozagrobowym.",
Czym była mumifikacja?,"Procesem balsamowania zwłok, który miał je zabezpieczyć przed rozkładem i zapewnić życie wieczne.",
Czym były piramidy?,Grobowcami wznoszonymi dla faraonów.,
Jak nazywa się największa egipska piramida?,Piramida Cheopsa.,
Jakie pory roku związane z Nilem wyznaczały rytm życia Egipcjan?,"# Pora wylewu
# Pora siewu 
# Pora zbiorów",
Co to jest balsamowanie?,"Proces zabezpieczania ciała zmarłego przed rozkładem przy użyciu specjalnych substancji (np. żywic, olejków).

Był to główny etap mumifikacji w starożytnym Egipcie.",
Od kiedy do kiedy istniała cywilizacja starożytnego Egiptu?,"Trwała przez około 3000 lat, od zjednoczenia Egiptu około 3100 r. p.n.e. do podboju przez Rzymian w 30 r. p.n.e.",
,,
