#SHEETINFO | name=Kl5SP Systematyka,,,,
,"Teoria:

https://zpe.gov.pl/a/drogi-rozprzestrzeniania-sie-i-zasady-profilaktyki-chorob-wywolywanych-przez-bakterie/DqjwmRGRe

https://zpe.gov.pl/a/drogi-zakazenia-i-zasady-profilaktyki-chorob-wywolywanych-przez-protisty/DvtYdHdTy

https://zpe.gov.pl/a/porosty/DWtEOMPHS

https://zpe.gov.pl/a/wirusy/D1CxxZfSh

https://zpe.gov.pl/a/bakterie/D4arHI4h6",,,
,,,,
Klasyfikacja organizmów,,,,
Co to jest gatunek?,"To grupa osobników podobnych do siebie, które mogą się krzyżować ze sobą i wydawać płodne potomstwo.",,,
Czym zajmuje się systematyka?,"To dział biologii zajmujący się klasyfikowaniem, czyli grupowaniem organizmów.",,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Klasyfikacja_zwierzat.svg/960px-Klasyfikacja_zwierzat.svg.png
Jaka jest podstawowa jednostka klasyfikacji w systematyce?,Gatunek.,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Biological_classification_L_Pengo_vflip_pl.svg/500px-Biological_classification_L_Pengo_vflip_pl.svg.png
Jaką strukturę ma systematyka i na czym polega ta struktura?,"Systematyka ma strukturę hierarchiczną, czyli kolejne grupy organizmów łączą się w większe jednostki.",,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Klasyfikacja_zwierzat.svg/960px-Klasyfikacja_zwierzat.svg.png
Z ilu członów składają się nazwy gatunkowe?,Są dwuczłonowe.,"Przykłady:
* kot domowy
* róża dzika
* lis rudy
* poziomka pospolita",,
Jaka jest najwyższa jednostka systematyczna w klasyfikacji organizmów?,Królestwo.,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Biological_classification_L_Pengo_vflip_pl.svg/500px-Biological_classification_L_Pengo_vflip_pl.svg.png
Wymień jednostki systematyczne.,"# Królestwo
# Typ
# Gromada
# Rząd
# Rodzina
# Rodzaj
# Gatunek","Jednostki systematyczne w królestwie zwierząt:
# Królestwo: zwierzęta
# Typ, np. strunowce
# Gromada, np. ssaki
# Rząd, np, drapieżne
# Rodzina, np. psowate
# Rodzaj, np. lis
# Gatunek, np. lis rudy
Jednostki systematyczne w królestwie roślin:
# Królestwo: rośliny
# Gromada, np. rośliny naczyniowe
# Klasa, np. dwuliścienne
# Rząd, np. różowce
# Rodzina, np. różowate
# Rodzaj, np. poziomka
# Gatunek, np. poziomka pospolita",,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Biological_classification_L_Pengo_vflip_pl.svg/500px-Biological_classification_L_Pengo_vflip_pl.svg.png
"Co trzeba zrobić, by określić do jakiego gatunku należy dany organizm?",Należy posłużyć się kluczem do oznaczania gatunków.,"Klucz to zestaw wskazówek, w którym zawsze wybierasz jeden z dwóch opisów pasujących do wyglądu badanego organizmu. Idąc krok po kroku za tymi wyborami, dotrzesz do rozwiązania zagadki i poznasz nazwę gatunku.",,https://upload.wikimedia.org/wikipedia/commons/3/31/Klucz_do_oznaczania_ro%C5%9Blin2_%28tekst%29.png
Wymień 5 królestw organizmów.,"# bakterie
# protisty
# grzyby
# rośliny
# zwierzęta",,,
Podaj przykładowe nazwy gatunków.,"# kot domowy
# róża dzika
# lis rudy
# poziomka pospolita
(nazwy te są dwuczłonowe)",,,
Opisz cechy królestwa: Rośliny,"Budowa komórki:
* z jądrem
* ze ścianą komórkową
* z chloroplastami
Budowa organizmu:
* wielokomórkowe
Odżywianie: 
* samożywne","Rośliny w '''fotosyntezie''' budują cukry z dwutlenku węgla i wody dzięki światłu, a w '''oddychaniu tlenowym''' rozkładają te cukry, by zdobyć energię.",,
Opisz cechy królestwa: Zwierzęta,"Budowa komórki: 
* z jądrem
* bez ściany komórkowej
* bez chloroplastów
Budowa organizmu:
* wielokomórkowe
Odżywianie:
* cudzożywne",,,
,,,,
Wirusy,,,,
Dlaczego wirusy nie są zaliczane do świata organizmów?,"Ponieważ:
# nie mają budowy komórkowej
# nie wykonują żadnych czynności życiowych",,,
Z jakich dwóch elementów zbudowane są wirusy?,"Wirusy są zbudowane z:
# otoczki białkowej (płaszcza białkowego)
# materiału genetycznego",,,
W jaki sposób wirusy się namnażają?,"# atakują komórki innych organizmów
# wnikają do nich
# wykorzystują je do rozmnażania się",,,
Wymień przykłady chorób wywoływanych przez wirusy.,"# grypa
# ospa
# różyczka
# świnka
# odra
# AIDS",,,
Co to jest choroba?,To stan złego samopoczucia organizmu spowodowany wpływem czynnika chorobotwórczego.,,,
Co to jest epidemia?,"Epidemia to sytuacja, gdy w jednym czasie i w jednym miejscu wiele osób choruje na tę samą chorobę zakaźną.",,,
Co to jest pandemia?,"To epidemia o szczególnie dużych rozmiarach, występująca na dużym obszarze, obejmująca nawet kontynenty.",,,
Wymień drogi rozprzestrzeniania się wirusów.,"# droga kropelkowa (np. kichanie)
# przez krew
# przez drogi moczowo-płciowe
# w trakcie ciąży i porodu",,,
Co to jest profilaktyka?,"Profilaktyka to zapobieganie powstaniu i rozwojowi choroby.

Na przykład poprzez:
* stosowanie szczepień
* unikanie konktaktu z osobami chorującymi na choroby zakaźne
* unikanie dotykania oczu, nosa i ust w miejscach publicznych
* dokładne mycie rąk",,,
"Podaj dwie choroby wirusowe oraz zaproponuj, jak zapobiegać zakażeniom.","Choroby:
* grypa
* ospa
Zapobieganie:
# przyjmowanie szczepień ochronnych
# częste mycie rąk
# unikanie kontaktu z osobami chorymi",,,
, ,,,
Bakterie,,,,
Opisz cechy królestwa: Bakterie,"Budowa komórki:
* bez jądra
* ze ścianą komórkową
Budowa organizmu:
* jednokomórkowe
Odżywianie:
* samożywne (np. sinice prowadzące fotosyntezę)
* cudzożywne (np. bakterie gnilne, bakterie chorobotwórcze, bakterie współpracujące z innymi organizmami)
Oddychanie:
* tlenowe
* beztlenowe (np. fermentacja)",,,
Jak rozmnażają się bakterie i jak szybko może to następować?,Rozmnażają się przez podział komórki; w odpowiednich warunkach następuje on co 20–30 minut.,,,
W jakich środowiskach występują bakterie?,"Występują powszechnie we wszystkich środowiskach:
# w wodzie
# glebie
# powietrzu
# jako pasożyty wewnątrz innych organizmów",,,
Czy bakterie zawsze żyją pojedynczo?,"Nie, mogą występować pojedynczo lub skupiać się i tworzyć kolonie.",,,
Jakie są podstawowe formy (kształty) bakterii?,"# kuliste (np. gronkowce)
# wydłużone (np. pałeczki, laseczki) 
# skręcone (np. krętki)",,,
Wymień przykłady chorób wywoływanych przez bakterie.,"# gruźlica
# salmonelloza
# tężec
# borelioza",,,
Do czego wykorzystuje się bakterie w oczyszczalniach ścieków?,Do biologicznego oczyszczania wody.,[[Video:https://www.youtube.com/watch?v=qiwN8ozFTs8]],,
Jaki jest negatywny wpływ bakterii (sinic) na środowisko wodne?,Powodują zakwity wody.,,,
Wymień pozytywne znaczenie bakterii dla środowiska.,"# powodują rozkład martwych szczątków (tworzenie gleby, kompostu)
# są pokarmem dla innych
# służą do oczyszczania ścieków",[[Video:https://www.youtube.com/watch?v=qiwN8ozFTs8]],,
Jak bakterie i grzyby gnilne przyczyniają się do powstawania gleby (kompostu)?,Bakterie gnilne i grzyby powodują rozkład martwych szczątków roślin i zwierząt.,,,
Jakie jest pozytywne znaczenie bakterii dla człowieka?,"# wytwarzają witaminy B i K w jelitach
# służą do produkcji żywności (np. jogurtów, kiszonek, alkoholu)
# służą do produkcji leków i szczepionek",,,
Wymień negatywne skutki działania bakterii dla człowieka.,"# wywołują choroby ludzi i zwierząt
# powodują psucie się żywności
# niszczą artykuły przemysłowe (np. papier, drewno, skórę).",,,
Czym są antybiotyki i przeciwko jakim organizmom się je stosuje?,"Antybiotyki to leki stosowane w leczeniu chorób wywoływanych przez bakterie (niszczą komórki bakterii lub hamują ich namnażanie).

Należy pamiętać, że antybiotyki nie działają na wirusy.",,,
,,,,
Protisty,,,,
