#SHEETINFO | name=Kl5SP Społeczeństwo średniowiecznej Europy,,,,
,"Teoria:

https://zpe.gov.pl/a/przeczytaj/D1c9wYBN2
https://zpe.gov.pl/a/sredniowieczne-miasto/DJNZaPJcf
https://zpe.gov.pl/a/wies-w-sredniowieczu/Dfzl0z4jY",,,
,,,,
Feudalna Europa,,,,
Czym był stan?,"To ukształtowana w średniowieczu grupa społeczna zrzeszająca ludzi o określonych prawach, obowiązkach i codziennych zajęciach. 

Przynależność do stanu zależała zazwyczaj od urodzenia.",,,
Wymień stany średniowiecza.,"# duchowieństwo
# rycerstwo
# mieszczaństwo
# chłopstwo",,,
"Co to znaczy, że stany różniły się prawami?","Oznaczało to, że prawo traktowało ludzi w różny sposób w zależności od grupy społecznej, do której należeli.

Np. za zabójstwo rycerz płacił tylko grzywnę, a chłop ponosił karę śmierci.",,,
"Wyjaśnij, kiedy i jak doszło do powstania rycerstwa.","Rycerstwo powstało w VIII w. w państwie Franków z powodu powszechnego zagrożenia i najazdów. 

Królowie potrzebowali ciężkozbrojnej jazdy do obrony, a ponieważ zbroje i konie były bardzo drogie, władcy zaczęli nadawać wojownikom ziemię na ich utrzymanie, zapoczątkowując w ten sposób stan rycerski.",,,
Co to było lenno?,"Była to ziemia nadawana przez seniora wasalowi w użytkowanie, w zamian za wierność i służbę zbrojną.",,,https://upload.wikimedia.org/wikipedia/commons/7/71/Gallery_of_19th-Century_Polish_Art_in_the_Sukiennice%2C_2022%2C_07.jpg
Kto to jest senior i jakie miał obowiązki i prawa wobec wasala?,"Senior - właściciel ziemi (król, możnowładca świecki lub duchowny).

Obowiązki i prawa seniora:
# Pozwalał wasalowi czerpać dochody z lenna.
# Bronił wasala przed wrogami.",,,
Kto to jest wasal i jakie miał obowiązki i prawa wobec seniora?,"Wasal - użytkownik lenna (rycerz).

Obowiązki i prawa wasala:
# Musiał brać udział w wyprawach wojennych seniora.
# Miał obowiązek uczestniczyć w naradach wojennych i sprawować sądy w imieniu seniora.",,,
Kim był suzeren?,"Był to najwyższy senior (najczęściej król lub inny władca), który posiadał swoich wasali, ale sam nikomu nie podlegał i nie był niczyim wasalem.",,,
Czym się różnił wasal od poddanego?,"Wasal (rycerz) otrzymywał lenno od seniora w zamian za wierność i służbę zbrojną. 

Poddany (chłop):
* uprawiał ziemię należącą do pana
* musiał na niego pracować (pańszczyzna)
* nie łączył go z panem stosunek lenny",,,
Omów ceremonię nadania lenna.,"Składała się z dwóch części:
# Najpierw wasal składał hołd lenny (klękał i przysięgał dożywotnią wierność)
# Następnie odbywała się inwestytura:
** senior wręczał wasalowi przedmiot (np. chorągiew lub pierścień)
** nadawał mu ziemię
** obiecywał opiekę",,,
Czym był i na czym polegał feudalizm?,"Był to średniowieczny system organizacji społeczeństwa, w którym wyżej postawieni zapewniali bezpieczeństwo i ziemię niżej postawionym.

Władca (senior) nadawał ziemię (lenno) rycerzowi (wasalowi) w zamian za wierność i służbę zbrojną, a chłopi uprawiali tę ziemię, utrzymując rycerza.",,,
Omów przyczyny powstania feudalizmu.,"Głównymi przyczynami powstania feudalizmu były: 
# ciągłe poczucie zagrożenia na skutek wojen i najazdów na średniowieczną Europę
# pojawienie się drogiej w utrzymaniu ciężkozbrojnej jazdy (rycerstwa), którym władcy musieli nadawać ziemię w zamian za obronę",,,
Co nazywamy rozdrobnieniem feudalnym?,"To proces rozbicia państw na liczne, często toczące ze sobą wojny małe państewka (księstwa).",,,
