Kiedy liczba jest podzielna przez 2?,"Gdy jej ostatnia cyfra to 0, 2, 4, 6 lub 8.",
Kiedy liczba jest podzielna przez 5?,Gdy jej ostatnią cyfrą jest 0 lub 5.,
Kiedy liczba jest podzielna przez 10?,Gdy jej ostatnią cyfrą jest 0.,
Kiedy liczba jest podzielna przez 100?,Gdy jej dwie ostatnie cyfry to zera.,
Kiedy liczba jest podzielna przez 3?,Gdy suma jej cyfr jest podzielna przez 3.,
Kiedy liczba jest podzielna przez 9?,Gdy suma jej cyfr jest podzielna przez 9.,
Kiedy liczba jest podzielna przez 4?,Gdy liczba utworzona przez jej dwie ostatnie cyfry jest podzielna przez 4.,
,,
"Które z podanych liczb są podzielne przez 3: 465, 9909, 20910, 87321?",Wszystkie podane liczby są podzielne przez 3.,
"Które z podanych liczb są podzielne przez 9: 945, 1017, 2268, 42792?","945, 1017 oraz 2268.",
"Która z liczb jest podzielna przez 3, ale nie jest podzielna przez 9: 465 czy 945?","465 (suma cyfr 15), ponieważ 945 jest podzielne przez 9 (suma cyfr 18).",
Czy 87 harcerzy może ustawić się w trójkach?,"Tak, ponieważ suma cyfr 8+7'=15, a 15 jest podzielne przez 3.",
Czy 87 harcerzy może ustawić się w czwórkach?,"Nie, ponieważ 87 nie jest podzielne przez 4.",
"Wstaw w miejsce 💠 cyfrę, aby liczba 9💠3 była podzielna przez 3. Podaj wszystkie możliwości.","0, 3, 6, 9.",
"Wstaw w miejsce 💠 cyfrę, aby liczba 157💠 była podzielna przez 3. Podaj wszystkie możliwości.","2, 5, 8.",
"Wstaw w miejsce 💠 cyfrę, aby liczba 84💠1 była podzielna przez 9.",5,
"Wstaw w miejsce 💠 cyfrę, aby liczba 100💠00 była podzielna przez 9.",8,
"Jaka cyfra kryje się pod 💠, jeśli liczba 231💠 jest podzielna jednocześnie przez 3 i przez 4?",6,
"Które z liczb są podzielne przez 4: 122, 348, 550, 2024?",348 i 2024.,
"Wskaż wszystkie liczby podzielne przez 5 spośród: 102, 345, 678, 990, 1001.",345 i 990.,
"Czy liczba 2460 jest podzielna przez 2, 5 i 10?","Tak, jest podzielna przez wszystkie trzy.",
"Wpisz w miejsce 💠 cyfrę, aby liczba 13💠 była podzielna przez 3, ale nie przez 9. Podaj wszystkie możliwości.","2, 8 (dla 5 liczba byłaby podzielna przez 9).",
"Jaką cyfrę należy wstawić w miejsce 💠 w liczbie 56💠, aby była ona podzielna przez 4?",4 (liczba 64 jest podzielna przez 4).,
"Czy jeśli liczba jest podzielna przez 9, to jest też zawsze podzielna przez 3?",Tak.,
"Czy jeśli liczba jest podzielna przez 3, to jest też zawsze podzielna przez 9?","Nie, na przykład liczba 12.",
"W magazynie jest 655 piłeczek. Czy można je zapakować do pudełek po 9 sztuk, tak aby żadna nie została?","Nie, ponieważ suma cyfr 6+5+5'=16, a 16 nie dzieli się przez 9.",
,,
Czym jest liczba pierwsza?,"Liczba naturalna większa od 1, która ma dokładnie dwa dzielniki: 1 i samą siebie",
Wymień początkowe liczby pierwsze,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",
Co to jest największy wspólny dzielnik (NWD) dwóch liczb?,"Największa liczba naturalna, która dzieli obie te liczby bez reszty",
Co to jest najmniejsza wspólna wielokrotność (NWW) dwóch liczb?,"Najmniejsza liczba naturalna różna od zera, która jest jednocześnie wielokrotnością obu tych liczb",
Wymień wszystkie dzielniki liczby 24,"1, 2, 3, 4, 6, 8, 12, 24",
"=""Wymień wszystkie dzielniki liczby ""&Q36","=JOIN("", ""; FILTER(SEQUENCE(Q36); MOD(Q36; SEQUENCE(Q36))=0))","~#place-after-tech-cols#~=RANDBETWEEN(8;64)"
"=""Wymień wszystkie dzielniki liczby ""&Q37","=JOIN("", ""; FILTER(SEQUENCE(Q37); MOD(Q37; SEQUENCE(Q37))=0))","~#place-after-tech-cols#~=RANDBETWEEN(8;64)"
Wymień 5 pierwszych wielokrotności liczby 8,"8, 16, 24, 32, 40",
"=""Wymień 5 pierwszych wielokrotności liczby ""&Q39","=JOIN("", ""; ARRAYFORMULA(Q39*SEQUENCE(1;5)))","~#place-after-tech-cols#~=RANDBETWEEN(6;10)"
"=""Wymień 4 pierwsze wielokrotności liczby ""&Q40","=JOIN("", ""; ARRAYFORMULA(Q40*SEQUENCE(1;4)))","~#place-after-tech-cols#~=RANDBETWEEN(6;20)"
Która liczba jest jednocześnie liczbą pierwszą i parzystą?,2,
"Wyznacz NWD(18, 24)",6,
"Wyznacz NWD(17, 15)",1,
"Wyznacz NWW(9, 36)",36,
"Wyznacz NWW(12, 30)",60,
Ile maksymalnie jednakowych zestawów z 28 mandarynek i 35 kiwi można przygotować?,7,
,,
"Wyznacz NWD(48, 56)",8,
"Wyznacz NWD(50, 75)",25,
"Wyznacz NWD(60, 180)",60,
"Wyznacz NWD(440, 330)",110,
"Wyznacz NWD(1200, 80)",40,
"Wyznacz NWW(6, 7)",42,
"Wyznacz NWW(32, 48)",96,
"Wyznacz NWW(70, 84)",420,
"Wyznacz NWW(140, 350)",700,
Jaki jest największy wspólny dzielnik liczb 24 i 32?,8,
Jaka jest najmniejsza wspólna wielokrotność liczb 20 i 12?,60,
"Ile wynosi NWD(27, 30)?",3,
"Ile wynosi NWW(27, 30)?",270,
Mamy 14 batonów czekoladowych i 35 batonów musli. Chcemy je podzielić na jak największą liczbę jednakowych paczek. Ile paczek powstanie?,7,
"Dwie świetlówki migają. Pierwsza co 6 sekund, druga co 9 sekund. Właśnie mignęły razem. Za ile sekund znów migną razem?",18,
"Jaka jest największa liczba, przez którą dzielą się bez reszty liczby 100 i 150?",50,
"Jaka jest najmniejsza liczba, która dzieli się bez reszty przez 10 i 12?",60,
Do ilu maksymalnie jednakowych bukietów można włożyć 21 czerwonych i 35 białych róż?,7,
"Znajdź NWD(90, 135)",45,
,,
Cezary ma 28 mandarynek i 35 kiwi. Ile maksymalnie jednakowych zestawów owoców może przygotować?,7,
"Autobus 121 odjeżdża co 8 minut, a 227 co 12 minut. O 10:00 odjechały razem. O której godzinie znów odjadą jednocześnie?",O 10:24,
"Pan Marian odkurza co 3 dni, a robi pranie co 5 dni. Jeśli zaczął obie czynności w poniedziałek, po ilu dniach znów wykona je obie tego samego dnia?",Po 15 dniach,
"Jaką cyfrę należy wstawić w miejsce 💠, aby liczba 134 5💠0 była podzielna przez 3?","Można wstawić 2, 5 lub 8",
,,
Ela skreśliła wszystkie wielokrotności liczby 8. Dlaczego wszystkie wielokrotności liczby 16 były już skreślone?,Ponieważ każda wielokrotność liczby 16 jest również wielokrotnością liczby 8,
"Jaką cyfrę należy wstawić w miejsce 💠, aby liczba 97💠5 była podzielna przez 9?",6,
"Jakie cyfry można wstawić w miejsce 💠, aby liczba 427💠 była podzielna jednocześnie przez 2 i 3 (czyli przez 6)?",Można wstawić 2 lub 8,
"Krawcowa ma dwie wstążki o długościach 48 cm i 80 cm. Chce je pociąć na jak najdłuższe, równe kawałki. Jaką długość będzie miał każdy kawałek?",16 cm,
"Ania chodzi na basen co 4 dni, a Basia co 6 dni. Spotkały się na basenie w poniedziałek. Za ile dni spotkają się tam ponownie?",Za 12 dni,
"Autobus linii A przyjeżdża na przystanek co 10 minut, a linii B co 15 minut. O 12:00 były na przystanku razem. O której godzinie znów się tam spotkają?",O 12:30,
Mamy 40 cukierków czekoladowych i 56 owocowych. Na ile maksymalnie jednakowych paczek można je rozdzielić?,8,
Szkoła zebrała 56 kg karmy dla kotów i 96 kg dla psów. Na ile najwięcej jednakowych paczek można rozdzielić karmę obu rodzajów?,8,
,,
Teoria,,
,Największy wspólny dzielnik (NWD),https://matematyka.wiki/najwiekszy-wspolny-dzielnik
,Najmniejsza wspólna wielokrotność (NWW),https://matematyka.wiki/najmniejsza-wspolna-wielokrotnosc
