#SHEETINFO | name=Kl4SP Skala,,
Na planie w skali 1:20 długość stołu wynosi 3 cm. Ile cm ma stół w rzeczywistości?,60 cm,"Skala 1:20 oznacza, że 1 cm na planie to 20 cm w rzeczywistości. 

Jeśli stół ma 3 cm na planie, to 3 ⋅ 20 = 60 cm w rzeczywistości."
Piórnik ma 24 cm długości. Na rysunku w skali 1:6 jaka będzie jego długość?,4 cm,"Skala 1:6 oznacza, że 1 cm na rysunku to 6 cm w rzeczywistości. 

Aby znaleźć długość na rysunku, dzielimy: 24 : 6 = 4 cm."
Na rysunku w skali 1:10 wysokość krzesła wynosi 9 cm. Ile cm ma krzesło naprawdę?,90 cm,"Skala 1:10 oznacza, że 1 cm na rysunku odpowiada 10 cm w rzeczywistości. 

Obliczamy: 9 ⋅ 10 = 90 cm."
Rzeczywista długość kredki to 12 cm. Ile cm będzie miała na rysunku w skali 1:4?,3 cm,"Skala 1:4 oznacza, że 1 cm na rysunku odpowiada 4 cm w rzeczywistości. 

Aby policzyć długość na rysunku, dzielimy: 12 : 4 = 3 cm."
Drzewko ma 150 cm wysokości. Na planie w skali 1:30 ile cm będzie miało?,5 cm,"Skala 1:30 oznacza, że 1 cm na rysunku odpowiada 30 cm w rzeczywistości. 

Dzielimy wysokość drzewa: 150 : 30 = 5 cm."
Na planie w skali 1:15 długość łóżka wynosi 4 cm. Ile cm ma łóżko w rzeczywistości?,60 cm,"Skala 1:15 oznacza, że 1 cm na planie to 15 cm w rzeczywistości. 

4 ⋅ 15 = 60 cm."
Rzeczywista szerokość biurka wynosi 90 cm. Na rysunku w skali 1:10 ile cm zajmie?,9 cm,"Skala 1:10 oznacza, że 1 cm na rysunku odpowiada 10 cm w rzeczywistości. 

90 : 10 = 9 cm."
Na rysunku w skali 1:8 wysokość drzwi wynosi 12 cm. Ile cm mają drzwi naprawdę?,96 cm,"Skala 1:8 oznacza, że 1 cm na rysunku to 8 cm w rzeczywistości. 

12 ⋅ 8 = 96 cm."
Stół w rzeczywistości ma 180 cm długości. Ile cm zajmie na rysunku w skali 1:20?,9 cm,"Skala 1:20 oznacza, że 1 cm na rysunku odpowiada 20 cm w rzeczywistości. 

180 : 20 = 9 cm."
Na planie w skali 1:12 wysokość szafki wynosi 5 cm. Ile cm ma szafka naprawdę?,60 cm,"Skala 1:12 oznacza, że 1 cm na planie to 12 cm w rzeczywistości. 

5 ⋅ 12 = 60 cm."
#SHEETINFO | name=Kl5SP Skala,,
Czym się różni skala liczbowa od skali mianowanej?,"Skala liczbowa -  zapis w postaci ułamka, np. 1:100 000. Oznacza, że 1 cm na mapie odpowiada 100 000 cm (czyli 1 km) w terenie.

Skala mianowana - zapis słowny, np. 1 cm - 1 km. Pokazuje bezpośrednio, że 1 cm na mapie to 1 km w terenie.",
Co oznacza skala mapy?,Skala mapy pokazuje ile razy zmniejszono rzeczywiste odległości.,
Jak zapiszemy skalę liczbową 1:1000?,1 cm na mapie = 1000 cm w terenie.,
"Ile to metrów w terenie, jeśli skala wynosi 1:1000 i na mapie jest 1 cm?",10 metrów,
"W skali 1:10 000, ile w terenie to 1 cm na mapie?",100 metrów,
Zamień skalę liczbową 1:100 000 na mianowaną.,1 cm na mapie = 1 km w terenie,
Zamień skalę liczbową 1:200 000 na mianowaną.,1 cm na mapie = 2 km w terenie,
Skala 1:50 000 - ile metrów w rzeczywistości odpowiada 1 cm na mapie?,500 metrów,
Skala 1:25 000 - ile w rzeczywistości odpowiada 2 cm na mapie?,500 metrów,
Skala 1:5000 - ile metrów w rzeczywistości to 1 cm na mapie?,50 metrów,
Skala 1:500 - ile w rzeczywistości to 1 cm na mapie?,5 metrów,
Skala 1:1 000 000 - ile w rzeczywistości to 1 cm na mapie?,10 km,
Skala 1:250 000 - ile w terenie to 4 cm na mapie?,10 km,
Skala 1:100 000 - ile w terenie to 5 cm na mapie?,5 km,
Skala 1:50 000 - ile w terenie to 6 cm na mapie?,3 km,
Skala 1:20 000 - ile w terenie to 5 cm na mapie?,1 km,
Skala 1:25 000 - ile km w rzeczywistości odpowiada 8 cm na mapie?,2 km,
Skala 1:10 000 - ile w rzeczywistości to 12 cm na mapie?,"1200 m = 1,2 km",
Skala 1:1000 - ile w rzeczywistości to 7 cm na mapie?,70 m,
Skala 1:2 000 000 - ile w rzeczywistości to 3 cm na mapie?,60 km,
