#SHEETINFO | name=Kl5SP Opowieści z Narnii
W którym roku dzieje się akcja książki?,"W roku 1940, podczas II wojny światowej."
Jak miał na imiona C. S. Lewis?,Clive Staples
"W którym roku została napisana i wydana książka ""Lew, czarownica i stara szafa""?","Napisał ją w latach 1948-49, a wydano w 1950."
Jaka jest pełna nazwa pierwszego tomu książki Opowieści z Narnii?,"""Lew, Czarownica i Stara Szafa"""
Ile rozdziałów ma pierwszy tom książki Opowieści z Narnii?,17
Ile tomów ma seria Opowieści z Narnii?,Siedem
Kto jest autorem książki?,C.S. Lewis
W jakim kraju i krainie toczy się akcja?,W Anglii i Narnii
Jak płynie czas w Narnii w porównaniu do naszego świata?,W jednej chwili w naszym świecie mogą minąć lata w Narnii.
"Jakie imiona ma rodzeństwo, które trafia do Narnii?","Piotr, Zuzanna, Edmund, Łucja"
Uporządkuj dzieci od najstarszego do najmłodszego.,"Piotr, Zuzanna, Edmund, Łucja"
Kto opiekował się dziećmi w domu wiejskim?,Profesor Kirke
Kto z rodzeństwa jest najmłodszy?,Łucja
Dlaczego rodzeństwo zostało wysłane do domu wiejskiego?,Z powodu wojny w Londynie.
Dlaczego rodzeństwo wyjechało z Londynu na wieś?,Aby uniknąć bombardowań w trakcie wojny.
Jak brzmi nazwisko rodzeństwa?,Pevensie
"Co robił Piotr, zanim trafił do Narnii?","Przebywał z rodzeństwem w domu profesora Kirke, dokąd wysłano ich z Londynu."
Jak można dostać się do Narnii?,"Przez starą szafę.
Jest to zwykła szafa w domu profesora Kirke, wypełniona futrami, prowadząca do Narnii."
"Co oznacza ""stara szafa""?",Portal do Narnii.
"Co oznacza ""stara szafa"" dla bohaterów?",Brama do przygód.
Jak nazywają się siostry Piotra i Edmunda?,Zuzanna i Łucja
Kto pierwszy wszedł do Narnii?,Łucja
"Co zrobiła Łucja, gdy po raz pierwszy spotkała fauna Tumnusa?",Zaczęła z nim rozmowę i poszła do jego domu na herbatę.
Gdzie miało domek małżeństwo Bobrów?,Na środku tamy.
Co jadło rodzeństwo u Bobrów.,"Ziemniaki, ze złowionymi przez Bobra rybami. A na deser dostali strucle z dżemem."
"Od kogo Biała Czarownica wiedziała, że faun Tumnus pomógł Łucji?",Od Edmunda
Co było zadaniem fauna Tumnusa?,"Porywanie dzieci, czyli córek Ewy i synów Adama na rozkaz Białej Czarownicy."
Kim jest Tumnus?,Faunem
"Kto był pierwszą postacią, którą Łucja spotkała po przejściu przez szafę?",Faun Tumnus
"Tumnus po zaproszeniu Łucji na herbatę wyznaje jej, że Narnią rządzi zła Królowa, która rzuciła na krainę czar, przez który...?",w Narni panuje wieczna zima
"Jak nazywa się kraina, do której trafiają dzieci?",Narnia
"Kto dokuczał Łucji po tym, gdy wyznała, że wejście do szafy prowadzi do Narnii?",Edmund
Kim jest Łucja?,"Najmłodszą z rodzeństwa i pierwszą, która weszła do Narnii."
Dlaczego Narnia jest zimą przez cały rok?,Z powodu zaklęcia Białej Czarownicy.
Jak Edmund dostał się do Narnii?,"Przez szafę, podążając za Łucją."
"Co Biała Czarownica dała Edmundowi do zjedzenia, gdy go pierwszy raz spotkała?",Ptasie mleczko
Czym jest ptasie mleczko?,Zaczarowanym przysmakiem Białej Czarownicy.
Co Edmund obiecał Białej Czarownicy?,Sprowadzenie rodzeństwa do niej
Co było największym zagrożeniem w Narnii?,Biała Czarownica i jej armia
Co się stało z Edmundem po spotkaniu z Czarownicą?,Był pod jej wpływem
Jakie moce miała Biała Czarownica?,Zaklęcie zimy i zamiana ludzi i zwierząt w kamień
Kto jest antagonistą w książce?,Biała Czarownica
Kogo odwiedziło rodzeństwo w Narnii?,Małżeństwo bobrów
Jakie zwierzęta pomagają rodzeństwu?,"Drozd, małżeństwo Bobrów"
"Do kogo po obiedzie u Państwa Bobrów, udał się ukradkiem Edmund?",Do Białej Czarownicy
Kim jest Aslan?,"Lwem, jest władcą Narnii oraz obrońcą dobrej strony"
Czy Aslan był prawdziwym lwem?,"Tak, był prawdziwym lwem w Narnii, a jednocześnie symbolem i wcieleniem siły dobra."
Kto z rodzeństwa został zauroczony przez Białą Czarownicę i zdradził swoje rodzeństwo?,Edmund
Kto przyjechał saniami z dzwoneczkami?,Święty Mikołaj
Co zapowiadało przybycie Świętego Mikołaja?,Że Aslan jest już w drodze i czary wiedźmy tracą swą moc
Jakie prezenty dostał Piotr od Świętego Mikołaja?,Tarcza i miecz
Jak wyglądała tarcza Piotra?,"Była koloru srebra, z namalowanym lwem stojącym na tylnych łapach"
Jak wyglądał miecz Piotra?,Miał złotą rękojeść
Dlaczego dary Piotra nie były zwykłymi prezentami?,"Były przeznaczone do obrony, a nie jako zabawki"
Co otrzymała Zuzanna od Świętego Mikołaja?,Łuk z kołczanem pełnym strzał oraz mały róg z kości słoniowej
Do czego służył róg Zuzanny?,Aby przywołać pomoc w niebezpieczeństwie
Co otrzymała Łucja od Świętego Mikołaja?,Buteleczkę z lekarstwem i mały sztylet
Z czego był zrobiony lek dla Łucji?,Z soku jednego z Ognistych Kwiatów rosnących w Górach Słońca
Do czego służyło lekarstwo dla Łucji?,Kilka kropel mogło uleczyć każdą ranę
Do czego miał służyć sztylet Łucji?,Do obrony własnej w największym niebezpieczeństwie
Dlaczego Łucja miała nie brać udziału w bitwie?,Bo bitwy nie wyglądają ładnie i nie są odpowiednim miejscem dla dzieci
"Jak nazywa się wilk, szef tajnej policji Białej Czarownicy?",Maugrim
Jak nazywa się zamek Białej Czarownicy?,Zamek na lodzie
Gdzie bohaterowie mieli spotkać się z Aslanem?,"Na polanie, w wyznaczonym miejscu, gdzie miał oczekiwać Aslan."
"Kto pomaga Piotrowi, Zuzannie, Edmundowi i Łucji?",lew Aslan
"Gdy Edmund przybył do domu Białej Czarownicy, czym go poczęstowała?",czerstwym chlebem
Jaką rolę pełni lew Aslan w Narnii?,Władca i obrońca dobrej strony.
Który z bohaterów najbardziej ufa Aslanowi?,Łucja
"Co się stało z faunem Tumnusem, po tym jak pomógł Łucji.",Został aresztowany i zamieniony w kamień.
Dlaczego Biała Czarownica nie zdążyła ubiec spotkania dzieci z Aslanem?,Stopniał śnieg i jej sanie nie mogły dalej jechać.
Co dostały dzieci od Świętego Mikołaja?,"Broń, eliksir i magiczny róg."
Kto uratował Edmunda?,Lew Aslan
W jaki sposób Biała Czarownica chciała złożyć ofiarę z Edmunda?,"Biała Czarownica chciała złożyć Edmunda w ofierze, ponieważ wierzyła, że jako zdrajca zgodnie z tzw. Wielkimi Czarami należy on do niej i ma prawo odebrać mu życie. Miała to być forma egzekucji w ramach starego prawa Narnii, które dawało jej władzę nad każdym zdrajcą, co miało uniemożliwić spełnienie się przepowiedni o objęciu władzy w Narnii przez czworo ludzkich dzieci.​

Szczegóły planu Czarownicy:
Biała Czarownica nakazała swojemu karłowi przywiązać Edmunda do drzewa i zaczęła ostrzyć nóż, szykując się do zabicia chłopca jako ofiary rytualnej.​

Jej celem było nie tylko ukaranie Edmunda za zdradę, ale przede wszystkim powstrzymanie przepowiedni o rządach czworga dzieci, których Edmund był jednym z bohaterów.​

Ofiarę uniemożliwiła interwencja armii Aslana, która przybyła na czas i uwolniła Edmunda zanim czarownica dokonała egzekucji.​

Symbolika ofiary:
W zamian za życie Edmunda, Aslan dobrowolnie oddał własne życie Białej Czarownicy, wykupując go swoim poświęceniem. To wydarzenie miało głęboką symbolikę, nawiązującą do motywu odkupienia i przebaczenia.​

Edmund przeżył dzięki Aslanowi i stał się symbolem możliwości przemiany oraz odkupienia po zdradzie."
"Jak Edmund zachował się wobec wcześniejszych pomyłek, gdy nadeszła walka z siłami Białej Czarownicy?",Przyznał się do błędu i walczył po stronie lwa Aslana.
Jak Piotr został królem Narnii?,Po zwycięstwie nad Białą Czarownicą Piotr wraz z rodzeństwem został uroczyście koronowany w Ker Paravel.
Jak nazywa się wilk zabity przez Piotra w obronie Zuzanny?,Maugrim
Z czego była zrobiona mikstura lecząca?,z Ognistych Kwiatów
Co Biała Czarownica i Aslan uzgadniają w swoim pakcie?,lew Aslan odda swoje życie za Edmunda
Czym jest Kamienny Stół w Opowieściach z Narnii i co się na nim wydarzyło?,"Kamienny Stół to starożytne miejsce składania ofiar w Narnii. To tam Aslan dobrowolnie oddał swoje życie za Edmunda i został zabity przez Białą Czarownicę. Jednak o świcie Stół pękł, a Aslan zmartwychwstał, pokonując Śmierć dzięki „głębszej magii”."
Jaka jest rola Kamiennego Stołu w fabule?,"Kamienny Stół symbolizuje starożytne prawo Narnii. 

Biała Czarownica powołuje się na „głęboką magię” zapisaną w nim, która daje jej prawo do ofiary z każdego zdrajcy. Jednak Aslan ujawnia istnienie „głębszej magii sprzed początków czasu”, dzięki której niewinna ofiara może odwrócić śmierć i zniszczyć moc Czarownicy."
"Czy Edmund nigdy nie dowiedział się, jakie były ustalenia Aslana z Białą Czarownicą?",Tak
Co się stało z Aslanem po poświęceniu się za Edmunda?,Zmartwychwstał dzięki „głębszej magii z zarania dziejów”
Kto to jest Grzmotołup?,"Grzmotołup jest olbrzymem, który rozbił drzwi do pałacu Czarownicy.

Aslan uwalnia Grzmotołupa i innych mieszkańców z zaklęć oraz Grzmotołup burzy fragment muru pałacu, umożliwiając przejście na pole bitwy."
Kto uwolnił Narnię spod panowania Białej Czarownicy?,Lew Aslan
Co symbolizuje bitwa końcowa?,Walkę dobra ze złem
Jak Piotr został królem?,Został uroczyście koronowany w Ker Paravel po zwycięstwie nad Białą Czarownicą.
Co wydarzyło się na końcu książki?,"Rodzeństwo zostało koronowane na królów i królowe Narnii w Ker Paravel, a potem długo panowali w Narnii."
"Czy poza Narnią, Aslan opiekował się również innymi krainami?",Tak
Kiedy i jak dzieci zostały koronowane na królów i królowe Narnii?,"Koronacja miała miejsce po zwycięstwie nad Białą Czarownicą
Odbyła się w sali tronowej Ker-Paravel."
Jaki jest charakter Piotra?,Odważny i odpowiedzialny
Jakie uczucia budzi Aslan?,Szacunek i podziw
Co symbolizuje Aslan?,Lwa i władcę Narnii
Co symbolizuje poświęcenie Aslana?,Ofiarę dobra dla zbawienia innych i zwycięstwo nad złem
"Jak nazywa się zima, która trwa cały rok?",Wieczna zima
Jakie nauki płyną z książki?,"O odwadze, przyjaźni i walce dobra ze złem"
